NO,上平声,上平声,上平声,上平声,上平声,上平声,上平声,上平声,上平声,上平声,上平声,上平声,上平声,上平声,上平声,下平声,下平声,下平声,下平声,下平声,下平声,下平声,下平声,下平声,下平声,下平声,下平声,下平声,下平声,下平声,上声,上声,上声,上声,上声,上声,上声,上声,上声,上声,上声,上声,上声,上声,上声,上声,上声,上声,上声,上声,上声,上声,上声,上声,上声,上声,上声,上声,上声,去声,去声,去声,去声,去声,去声,去声,去声,去声,去声,去声,去声,去声,去声,去声,去声,去声,去声,去声,去声,去声,去声,去声,去声,去声,去声,去声,去声,去声,去声,入声,入声,入声,入声,入声,入声,入声,入声,入声,入声,入声,入声,入声,入声,入声,入声,入声
41,功,蜂,0,姬,颀,沮,符,蠡,壶,埃,泯[轸韵同],0,门,盘,0,延,摇,抓,洮,莎,琶,相,莺,瓴,腾,愁,参[人参],泔,腌,0,0,0,0,喜,0,讵,部,0,0,0,0,0,龈,0,0,燹,藐,0,褓,0,0,上[上升],阱,0,诱,0,0,0,0,0,0,0,坠,0,0,库,税,0,0,溉,谆,0,0,判,0,溅,鹞,0,0,0,罅,怅,0,0,皱,0,0,0,0,哭,0,0,帅[动词],0,鳜,0,0,孽,泊,适,嫡,忆,笈[叶韵同],0,喋,0
42,工,烽,0,丝,兹,徂,凫,醍,狐,台,珉,0,尊[樽],蟠,0,筵,谣,0,淘,迦,耙,湘,樱,翎,藤,休,椹,聃,襜,0,0,0,0,已,0,溆,柱,0,0,0,0,0,0,0,0,隽,秒,0,芼,0,0,壤,狰[庚韵同],0,牡[麌韵同],0,0,0,0,0,0,0,醉,0,0,护,婿,0,0,慨,瞬,0,0,叛,0,饯,轿,0,0,0,吓,创,0,0,逅,0,0,0,0,幅,0,0,蒺,0,脖,0,0,浙,搏,索,轹,臆,圾,0,碟,0
43,攻,葑,0,司,差[参差],龉,芙,鹈,弧,苔,贫,0,存,漫[大水貌],0,毡,瑶,0,叨,疴,芭,箱,泓,娉,恒,囚,郴,邯,阉,0,0,0,0,纪,0,浒,矩,0,0,0,0,0,0,0,0,键,殍,0,澡,0,0,赏,靓,0,缶,0,0,0,0,0,0,0,议,0,0,屦,例,0,0,耐,韧,0,0,绊,0,善[动词],骠,0,0,0,娅,酱,0,0,嗅,0,0,0,0,斛,0,0,侄,0,饽,0,0,孑,藿,厄,栎,薏,褶,0,鲽,0
44,蒙,纵[纵横],0,葵,疲,茹,雏,奎,孤,抬,莼,0,敦,叹[翰韵同],0,旃,韶,0,啕,苛,杷,缃,橙,婷,罾,求,芩,蟫[侵韵同],0,0,0,0,0,跪,0,钜,武,0,0,0,0,0,0,0,0,变,了[了望],0,套,0,0,仿,惺,0,酉,0,0,0,0,0,0,0,翅,0,0,诉,誓,0,0,在[所在],浚,0,0,鹳,0,转[以力转动],票,0,0,0,哑,况,0,0,遘,0,0,0,0,戮,0,0,踬,0,鹁,0,0,桔,嚼,隔,阋,特,翕,0,捻,0
45,濛,踪,0,医,茨,榈,敷,批,辜,该,淳,0,墩,邯,0,蝉,昭,0,篙,蹉,笆,创,争,宁,崩,裘,檎,0,0,0,0,0,0,妓,0,醑,五,0,0,0,0,0,0,0,0,泫,0,0,涝,0,0,罔,打,0,苟,0,0,0,0,0,0,0,避,0,0,妒,筮,0,0,鼐,殉,0,0,伴,0,卷[书卷],铫[萧韵同],0,0,0,讶,亮,0,0,溜,0,0,0,0,仆,0,0,怵,0,捽[质韵同],0,0,颉,勺,益,菂,勒,0,0,晔,0
46,朦,茸,0,帷,卑,於,麸,砒,姑,才,醇,0,炖,郸,0,缠,招,0,熬,嵯,疤,忘,筝,暝,滕,仇,琳,0,0,0,0,0,0,蚁,0,咀,苦,0,0,0,0,0,0,0,0,癣,0,0,蚤,0,0,谠,瘿,0,丑,0,0,0,0,0,0,0,笥,0,0,惧,蕙,0,0,玳,馑,0,0,畔,0,甸,0,0,0,0,迓,傍[依傍],0,0,镂,0,0,0,0,畜,0,0,蟋,0,猝,0,0,拮,谑,窄,踢,肋,0,0,躐,0
47,瞢,蛩,0,思,亏,祛,夫,睽,觚,材,纯,0,暾,摊,0,廛,镳,0,遨,驮,爬,芒,清,瞑,誊,浮,蟫,0,0,0,0,0,0,鄙,0,诅,取,0,0,0,0,0,0,0,0,阐,0,0,拷,0,0,倘,并[合并],0,糗,0,0,0,0,0,0,0,帜,0,0,趣,诣,0,0,再,0,0,0,锻,0,电,0,0,0,0,华[姓华],丧[丧失],0,0,逗,0,0,0,0,蓄,0,0,筚,0,惚,0,0,撷,廓,核,迪,幅,0,0,笈[缉韵同],0
48,笼,邛,0,滋,蕤,蘧,肤,荑,0,财,唇,0,蹲,玕,0,联,瓢,0,翱,箩,葩,望,情,螟,崚,谋,愔,0,0,0,0,0,0,晷,0,苎,抚,0,0,0,0,0,0,0,0,颤,0,0,栲,0,0,魍,犷,0,扣,0,0,0,0,0,0,0,炽,0,0,娶,砺,0,0,袋,0,0,0,腕,0,咽,0,0,0,0,桦,恙,0,0,透,0,0,0,0,叔,0,0,篥,0,兀,0,0,揭,绰,舄,皙,仄,0,0,0,0
49,胧,筇,0,持,骑[跨马],疽,纡,篦,0,裁,伦,0,豚,拦,0,篇,苗,0,嗷,逻,些[少也],尝,晴,猩,嶒,牟,喑,0,0,0,0,0,0,子,0,抒,浦,0,0,0,0,0,0,0,0,膳,0,0,0,0,0,魉,眚,0,叩,0,0,0,0,0,0,0,粹,0,0,铸,励,0,0,逮,0,0,0,惋,0,茜,0,0,0,0,话,谅,0,0,骤,0,0,0,0,淑,0,0,必,0,讷[呐],0,0,褐[曷韵同],霍,掷,裼,昃,0,0,0,0
50,栊,跫,0,随,歧,蛆,输,齑,0,栽,轮,0,村,珊,0,偏,猫,0,臊,锣,佘,偿,精,钉,姮,眸,黔,0,0,0,0,0,0,仔,0,楮,主,0,0,0,0,0,0,0,0,鳝,0,0,0,0,0,谎,憬,0,某,0,0,0,0,0,0,0,莳,0,0,绔,瘗,0,0,埭,0,0,0,馆,0,单,0,0,0,0,胯[遇韵同],胀,0,0,又,0,0,0,0,倏,0,0,泌,0,羯,0,0,缬,镬,责,逖,稷,0,0,0,0
51,咙,供[供给],0,痴,岐,醵,枢,藜,0,哉,沦,0,屯,狻,0,绵,腰,0,嗥,哪,鲨,樯,睛,疔,塍,侔,嵚,0,0,0,0,0,0,梓,0,0,杜,0,0,0,0,0,0,0,0,舛,0,0,0,0,0,蟒,鲠,0,莠,0,0,0,0,0,0,0,谊,0,0,傅,噬,0,0,赉,0,0,0,旰,0,念[念书],0,0,0,0,跨,鬯,0,0,侑,0,0,0,0,独,0,0,荜,0,凸,0,0,碣[月韵同],莫,坼,蜺,识[知识],0,0,0,0
52,聋,蚣,0,维,谁,纾,厨,猊,0,来,抡,0,囤[囤积],鼾,0,全,桥,0,尻,挪,查,枪,菁,叮,冯,矛,沉,0,0,0,0,0,0,矢,0,0,坞,0,0,0,0,0,0,0,0,娩,0,0,0,0,0,漭,0,0,寿,0,0,0,0,0,0,0,帅,0,0,付,继,0,0,赛,0,0,0,捍,0,眄,0,0,0,0,衩,脏[内脏],0,0,幼,0,0,0,0,卜,0,0,秫,0,咄[曷韵同],0,0,挈,箨,惜,阒,逼,0,0,0,0
53,珑,喁,0,卮,斯,樗,俱,蜺,0,莱,匀,0,盆,杆,0,镌,乔,0,鏖,锅,楂,坊,晶,厅,症,侯,0,0,0,0,0,0,0,雉,0,0,祖,0,0,0,0,0,0,0,0,辗,0,0,0,0,0,嗓,0,0,绶,0,0,0,0,0,0,0,厕,0,0,谕,脆,0,0,忾,0,0,0,疸,0,淀,0,0,0,0,柘,吭,0,0,读[句读],0,0,0,0,馥,0,0,栉,0,矻,0,0,抉,缚,癖,汨[汨罗江],克,0,0,0,0
54,砻,0,0,麋,澌,躇[药韵同],驹,鲵,0,灾,旬,0,奔,跚,0,穿,娆,0,螯,诃,渣,囊,旌,町,簦,喉,0,0,0,0,0,0,0,死,0,0,愈,0,0,0,0,0,0,0,0,邅[先韵同],0,0,0,0,0,盎,0,0,玖,0,0,0,0,0,0,0,寄,0,0,喻,睿,0,0,暧,0,0,0,但,0,靛,0,0,0,0,0,砀,0,0,堠,0,0,0,0,沐,0,0,唧,0,0,0,0,亵,貉,僻,0,即,0,0,0,0
55,泷,0,0,0,私,螭,0,欤,0,猜,巡,0,论[动词],姗,0,川,妖,0,獒,窠,爹,郎,盈,泠,瞢,猴,0,0,0,0,0,0,0,履,0,0,堵,0,0,0,0,0,0,0,0,脔,0,0,0,0,0,恍,0,0,授,0,0,0,0,0,0,0,睡,0,0,妪,毳,0,0,咳,0,0,0,罐,0,佃,0,0,0,0,0,伉,0,0,仆,0,0,0,0,速,0,0,帙,0,0,0,0,薛,各,掖,0,唧[质韵同],0,0,0,0
56,蓬,0,0,0,窥,麾,0,据[拮据],0,孩,驯,0,昏,殚,0,缘,飘,0,敖,蝌,挝,唐,楹,棂,凝[径韵同],讴,0,0,0,0,0,0,0,垒,0,0,扈,0,0,0,0,0,0,0,0,辫,0,0,0,0,0,脏,0,0,蹂[尤韵同],0,0,0,0,0,0,0,忌,0,0,芋,曳,0,0,嗳,0,0,0,盥,0,钿[先韵同],0,0,0,0,0,圹,0,0,副[遇韵同],0,0,0,0,祝,0,0,溧,0,0,0,0,拽[曳],略,腋,0,弋,0,0,0,0
57,篷,0,0,0,熙,墀,0,菰,0,徕,钧,0,痕,箪,0,鸢,逍,0,牦,髁,咤,狂,瀛,囹,棱,鸥,0,0,0,0,0,0,0,癸,0,0,父,0,0,0,0,0,0,0,0,捻,0,0,0,0,0,[肮脏],0,0,揉[尤韵同],0,0,0,0,0,0,0,贰,0,0,捕,蒂,0,0,睐,0,0,0,婉,0,镟,0,0,0,0,0,纩,0,0,锈,0,0,0,0,麓,0,0,谧,0,0,0,0,爇,骆,释,0,拭,0,0,0,0
58,洪,0,0,0,欺,弥,0,徒,0,骀,均,0,根,瘅,0,旋,潇,0,漕,倭,拿,强,嬴,羚,楞,楼,0,0,0,0,0,0,0,趾,0,0,甫,0,0,0,0,0,0,0,0,0,0,0,0,0,0,吭,0,0,溲,0,0,0,0,0,0,0,萃,0,0,哺,睇,0,0,0,0,0,0,缎,0,漩,0,0,0,0,0,桄,0,0,鹫,0,0,0,0,辘,0,0,昵,0,0,0,0,冽,寞,译,0,陟,0,0,0,0
59,荭,0,0,0,疵,慈,0,途,0,胎,榛,0,恩,谰,0,船,鸮,0,嘈,涡,椰,肠,赢,蛉,0,陬,0,0,0,0,0,0,0,址,0,0,禹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,沆,0,0,纣,0,0,0,0,0,0,0,穗,0,0,互,妻[以女妻人],0,0,0,0,0,0,缦,0,拣,0,0,0,0,0,挡,0,0,绉,0,0,0,0,镞,0,0,轶,0,0,0,0,瞥,膜,峄,0,恻,0,0,0,0
60,红,0,0,0,赀,遗,0,涂,0,唉,莘,0,吞,獾,0,涎,骁,0,槽,窝,珈,康,营,咛,0,偷,0,0,0,0,0,0,0,以,0,0,羽,0,0,0,0,0,0,0,0,0,0,0,0,0,0,慷,0,0,钮,0,0,0,0,0,0,0,二,0,0,孺,递,0,0,0,0,0,0,侃,0,缮,0,0,0,0,0,旺,0,0,咮,0,0,0,0,蹙,0,0,聿,0,0,0,0,迭,鄂,择,0,测,0,0,0,0
61,虹,0,0,0,羁,肌,0,荼,0,垓,遵,0,荪,倌,0,鞭,祧,0,掏,讹,跏,冈,婴,型,0,头,0,0,0,0,0,0,0,已,0,0,怒[遇韵同],0,0,0,0,0,0,0,0,0,0,0,0,0,0,襁,0,0,扭,0,0,0,0,0,0,0,臂,0,0,寓,逮,0,0,0,0,0,0,蒜,0,现,0,0,0,0,0,炕,0,0,灸,0,0,0,0,筑,0,0,诘,0,0,0,0,跌,博,摘,0,翊,0,0,0,0
62,鸿,0,0,0,彝,脂,0,图,0,挨,循,0,扪,棺,0,专,鹪,0,唠,陂,枷,苍,缨,邢,0,投,0,0,0,0,0,0,0,似,0,0,腑,0,0,0,0,0,0,0,0,0,0,0,0,0,0,镪,0,0,呕,0,0,0,0,0,0,0,嗣,0,0,赴,蓟,0,0,0,0,0,0,钻,0,狷,0,0,0,0,0,亢[高亢],0,0,籀,0,0,0,0,穆,0,0,耋,0,0,0,0,阅,昨,弈,0,洫,0,0,0,0
63,丛,0,0,0,髭,雌,0,屠,0,皑,甄,0,昆,剜,0,圆,鹩,0,涝,鄱,迦,匡,贞,0,0,钩,0,0,0,0,0,0,0,耜,0,0,拊,0,0,0,0,0,0,0,0,0,0,0,0,0,0,抢,0,0,殴,0,0,0,0,0,0,0,"吹[鼓吹,名词]",0,0,冱,蚋,0,0,0,0,0,0,谰,0,炫,0,0,0,0,0,阆,0,0,酎,0,0,0,0,睦,0,0,垤,0,0,0,0,餮,柝,奕,0,啬,0,0,0,0
64,翁,0,0,0,颐,披,0,奴,0,呆,宸,0,鲲,潘,0,员,缭,0,捞,皤,痂,荒,成,0,0,沟,0,0,0,0,0,0,0,祀,0,0,俯,0,0,0,0,0,0,0,0,0,0,0,0,0,0,肮,0,0,纠,0,0,0,0,0,0,0,遂,0,0,吐[麌韵同],薜,0,0,0,0,0,0,0,0,绚,0,0,0,0,0,防,0,0,诟,0,0,0,0,秃,0,0,捽,0,0,0,0,耋,格,迫,0,穑,0,0,0,0
65,嗡,0,0,0,资,嬉,0,吾,0,腮,纶,0,坤,拼[问韵同],0,乾[乾坤],獠,0,痨,魔,茄,遑,盛[盛受],0,0,幽,0,0,0,0,0,0,0,史,0,0,罟,0,0,0,0,0,0,0,0,0,0,0,0,0,0,犷,0,0,耦,0,0,0,0,0,0,0,恣,0,0,污[动词],荔,0,0,0,0,0,0,0,0,绽,0,0,0,0,0,0,0,0,蔻,0,0,0,0,縠,0,0,茁,0,0,0,0,垤,拓,疫,0,鲫,0,0,0,0
66,匆,0,0,0,糜,尸,0,梧,0,0,椿,0,仑,盘,0,虔,嘹,0,芼,梭,桠,行,城,0,0,纠,0,0,0,0,0,0,0,驶,0,0,赌,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,掊,0,0,0,0,0,0,0,四,0,0,恶[憎恶],唳,0,0,0,0,0,0,0,0,线,0,0,0,0,0,0,0,0,僦,0,0,0,0,覆,0,0,觱,0,0,0,0,捏,轹,昔,0,抑,0,0,0,0
67,葱,0,0,0,饥,狸,0,吴,0,0,鹑,0,婚,般,0,愆,夭[夭夭],0,0,唆,丫,妨,诚,0,0,啾,0,0,0,0,0,0,0,耳,0,0,卤,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,瓿,0,0,0,0,0,0,0,骥,0,0,晤,捩,0,0,0,0,0,0,0,0,煎,0,0,0,0,0,0,0,0,构,0,0,0,0,辐,0,0,鹬,0,0,0,0,页,铄,赫,0,或,0,0,0,0
68,聪,0,0,0,衰,炊,0,租,0,0,屯,0,阍,蹒,0,权,幺,0,0,骡,哑,棠,呈,0,0,楸,0,0,0,0,0,0,0,使[使令],0,0,姥,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,拇,0,0,0,0,0,0,0,季,0,0,煦,粝,0,0,0,0,0,0,0,0,选,0,0,0,0,0,0,0,0,扣,0,0,0,0,瀑,0,0,窒,0,0,0,0,阕,烁,瘠,0,匐[屋韵同],0,0,0,0
69,骢,0,0,0,锥,湄,0,卢,0,0,呻,0,髡,瘢,0,拳,邀,0,0,挼,划,翔,程,0,0,蚯,0,0,0,0,0,0,0,里,0,0,鹉,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,姆,0,0,0,0,0,0,0,刺,0,0,酤,泥[拘泥],0,0,0,0,0,0,0,0,旋,0,0,0,0,0,0,0,0,购,0,0,0,0,"郁[忧郁,郁郁葱葱]",0,0,苾,0,0,0,0,觖,灼,谪,0,0,0,0,0,0
70,通,0,0,0,姨,篱,0,鲈,0,0,粼,0,馄,磐,0,椽,要[要求],0,0,靴,哗,良,酲,0,0,踌,0,0,0,0,0,0,0,理,0,0,拄,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,擞,0,0,0,0,0,0,0,驷,0,0,讣,媲,0,0,0,0,0,0,0,0,颤,0,0,0,0,0,0,0,0,彀,0,0,0,0,舳,0,0,0,0,0,0,0,谲,疟,亦,0,0,0,0,0,0
71,棕,0,0,0,夔,0,0,炉,0,0,嶙,0,喷,瞒,0,传,姚,0,0,瘸,夸,航,声,0,0,绸,0,0,0,0,0,0,0,李,0,0,莽[养韵同],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,绺,0,0,0,0,0,0,0,寐,0,0,仆[偃仆],嬖,0,0,0,0,0,0,0,0,擅,0,0,0,0,0,0,0,0,戊,0,0,0,0,掬,0,0,0,0,0,0,0,鴂,蒻,硕,0,0,0,0,0,0
72,烘,0,0,0,祗,0,0,芦,0,0,辚,0,狲,谩,0,焉,樵,0,0,搓,胯,倡,征,0,0,惆,0,0,0,0,0,0,0,起,0,0,栩,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,抖,0,0,0,0,0,0,0,魅,0,0,赙,彗,0,0,0,0,0,0,0,0,缘[衣饰],0,0,0,0,0,0,0,0,懋,0,0,0,0,踘,0,0,0,0,0,0,0,撇,箬,貊,0,0,0,0,0,0
73,崆,0,0,0,涯[佳、麻韵同],0,0,颅,0,0,磷,0,饨,馒,0,嫣,谯,0,0,哦,抓,伥,正[正月],0,0,勾,0,0,0,0,0,0,0,杞,0,0,窭,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,陡,0,0,0,0,0,0,0,积[积蓄],0,0,驸,睥,0,0,0,0,0,0,0,0,撰,0,0,0,0,0,0,0,0,贸,0,0,0,0,蹴,0,0,0,0,0,0,0,蹩,芍,跖,0,0,0,0,0,0
74,0,0,0,0,伊,0,0,垆,0,0,呻,0,臀,鳗,0,鞯,憔,0,0,瘥,洼,羌,轻,0,0,娄,0,0,0,0,0,0,0,圯,0,0,脯,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,蚪,0,0,0,0,0,0,0,被,0,0,婺,睨,0,0,0,0,0,0,0,0,唁,0,0,0,0,0,0,0,0,袤,0,0,0,0,跼,0,0,0,0,0,0,0,篾,躇,鹡,0,0,0,0,0,0
75,0,0,0,0,追,0,0,蚨,0,0,伸,0,跟,钻,0,褰,标,0,0,酡,呱,庆,名,0,0,琉,0,0,0,0,0,0,0,跂,0,0,妩,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,篓,0,0,0,0,0,0,0,懿,0,0,锢,剂,0,0,0,0,0,0,0,0,谚,0,0,0,0,0,0,0,0,嗽,0,0,0,0,茯,0,0,0,0,0,0,0,楔,却,碛,0,0,0,0,0,0
76,0,0,0,0,蓍,0,0,孥,0,0,绅,0,瘟,抟,0,搴,飚,0,0,颏,0,姜,令[使令],0,0,疣,0,0,0,0,0,0,0,士,0,0,庑,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,黝,0,0,0,0,0,0,0,觊,0,0,蛀,嚏,0,0,0,0,0,0,0,0,媛,0,0,0,0,0,0,0,0,凑,0,0,0,0,袱,0,0,0,0,0,0,0,惙,噱,蹐,0,0,0,0,0,0
77,0,0,0,0,缁,0,0,帑,0,0,寅,0,飧,邗,0,铅,嫖,0,0,0,0,僵,并[并州],0,0,犹,0,0,0,0,0,0,0,仕,0,0,否[是否],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,赳,0,0,0,0,0,0,0,冀,0,0,飓,谛,0,0,0,0,0,0,0,0,忭,0,0,0,0,0,0,0,0,鼬,0,0,0,0,鵩,0,0,0,0,0,0,0,辍,矍,只,0,0,0,0,0,0
78,0,0,0,0,萁,0,0,苏,0,0,姻,0,棔,汗[可汗],0,舷,漂[漂浮],0,0,0,0,缰,倾,0,0,邹,0,0,0,0,0,0,0,俟,0,0,麈,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,取[麌韵同],0,0,0,0,0,0,0,愧,0,0,怖,缔,0,0,0,0,0,0,0,0,弁,0,0,0,0,0,0,0,0,甃,0,0,0,0,鹆,0,0,0,0,0,0,0,啜,攫,炙[动词],0,0,0,0,0,0
79,0,0,0,0,箕,0,0,酥,0,0,荀,0,0,0,0,跹,剽,0,0,0,0,疆,萦,0,0,兜,0,0,0,0,0,0,0,始,0,0,褛,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,匮,0,0,铺[店铺],剃,0,0,0,0,0,0,0,0,援,0,0,0,0,0,0,0,0,沤[动词],0,0,0,0,髑,0,0,0,0,0,0,0,缀,醵,踯,0,0,0,0,0,0
80,0,0,0,0,椎,0,0,乌,0,0,询,0,0,0,0,鹃,佻,0,0,0,0,粮,琼,0,0,呦,0,0,0,0,0,0,0,齿,0,0,篓,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,恚,0,0,塑,屉,0,0,0,0,0,0,0,0,研[磨研],0,0,0,0,0,0,0,0,0,0,0,0,0,槲,0,0,0,0,0,0,0,撤,踱,斥,0,0,0,0,0,0
81,0,0,0,0,罴,0,0,污[污秽],0,0,峋,0,0,0,0,筌,龆,0,0,0,0,穰,峥,0,0,咻,0,0,0,0,0,0,0,矣,0,0,偻,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,馈,0,0,愫,悌,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,扑,0,0,0,0,0,0,0,绁,魄,穸,0,0,0,0,0,0
82,0,0,0,0,篪,0,0,枯,0,0,氤,0,0,0,0,痊,苕,0,0,0,0,将,嵘,0,0,貅,0,0,0,0,0,0,0,耻,0,0,酤,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,蒉,0,0,蠹,俪,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,匐,0,0,0,0,0,0,0,杰,酪,鬲,0,0,0,0,0,0
83,0,0,0,0,萎,0,0,粗,0,0,恂,0,0,0,0,诠,岧,0,0,0,0,墙,撑,0,0,球,0,0,0,0,0,0,0,麂,0,0,牡,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,篑,0,0,溯,锲,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,簌,0,0,0,0,0,0,0,桀,络,骼,0,0,0,0,0,0
84,0,0,0,0,匙,0,0,都,0,0,嫔,0,0,0,0,悛,噍,0,0,0,0,桑,粳,0,0,蜉,0,0,0,0,0,0,0,枳,0,0,谱,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,柜,0,0,镀,贳,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,蔟,0,0,0,0,0,0,0,涅,烙,舶,0,0,0,0,0,0
85,0,0,0,0,脾,0,0,茱,0,0,彬,0,0,0,0,先,哓,0,0,0,0,刚,坑,0,0,蝣,0,0,0,0,0,0,0,峙,0,0,怙,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,暨,0,0,璐,掣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,煜,0,0,0,0,0,0,0,霓,珞,珀,0,0,0,0,0,0
86,0,0,0,0,坻,0,0,侏,0,0,皴,0,0,0,0,邅,跷,0,0,0,0,祥,铿,0,0,辀,0,0,0,0,0,0,0,鲤,0,0,肚,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,庇,0,0,雇,羿,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,复[复杂],0,0,0,0,0,0,0,"蜺[齐,锡韵同]",膊,吓,0,0,0,0,0,0
87,0,0,0,0,嶷,0,0,姝,0,0,娠,0,0,0,0,禅,侥,0,0,0,0,详,撄,0,0,帱,0,0,0,0,0,0,0,迩,0,0,踽,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,豉,0,0,瓠,棣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,蝠,0,0,0,0,0,0,0,批[齐韵同],粕,磔,0,0,0,0,0,0
88,0,0,0,0,治[治国],0,0,禺,0,0,闽,0,0,0,0,婵,了[明了],0,0,0,0,洋,鹦,0,0,阄,0,0,0,0,0,0,0,氏,0,0,虏,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,莉,0,0,迕,蟪,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,菔,0,0,0,0,0,0,0,0,簿,拆,0,0,0,0,0,0
89,0,0,0,0,骊,0,0,拘,0,0,纫,0,0,0,0,躔,魈,0,0,0,0,徉,黥,0,0,瘤,0,0,0,0,0,0,0,玺,0,0,孥,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,腻,0,0,妇,剃,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,孰,0,0,0,0,0,0,0,0,柞,喀,0,0,0,0,0,0
90,0,0,0,0,綦,0,0,嵎,0,0,湮,0,0,0,0,颛,峣,0,0,0,0,佯,蘅,0,0,硫,0,0,0,0,0,0,0,巳[辰巳],0,0,诂,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,秘,0,0,负,娣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,塾,0,0,0,0,0,0,0,0,漠,蚱,0,0,0,0,0,0
91,0,0,0,0,怡,0,0,蹰,0,0,肫,0,0,0,0,燃,描,0,0,0,0,粱,澎,0,0,浏,0,0,0,0,0,0,0,滓,0,0,瞽,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,比[近也],0,0,阜,说[游说],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,矗,0,0,0,0,0,0,0,0,摸,舴,0,0,0,0,0,0
92,0,0,0,0,尼,0,0,桴,0,0,逡,0,0,0,0,涟,钊,0,0,0,0,量,膨,0,0,庥,0,0,0,0,0,0,0,苡,0,0,羖,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,鸷,0,0,副,赘,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,竺,0,0,0,0,0,0,0,0,酢,剧,0,0,0,0,0,0
93,0,0,0,0,漪,0,0,俘,0,0,菌,0,0,0,0,琏,轺,0,0,0,0,羊,棚,0,0,湫,0,0,0,0,0,0,0,倚,0,0,祜,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,毖,0,0,富[宥韵同],憩,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,曝,0,0,0,0,0,0,0,0,怍,檗,0,0,0,0,0,0
94,0,0,0,0,牺,0,0,臾,0,0,臻,0,0,0,0,便[安也],桡,0,0,0,0,伤,浜,0,0,泅,0,0,0,0,0,0,0,匕,0,0,沪,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,啻,0,0,醋,鳜,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,鞠,0,0,0,0,0,0,0,0,涸,擘,0,0,0,0,0,0
